REGN,TIP,OKATO,PREDR_K,PREDR_O,PREDV_K,PREDV_O,SVSK_R,SVSK_V,SVS_R,SVS_V,DKREDR_K,DKREDV_K,ZDLR,ZDLV,ZDLPRR,ZDLPRV,SSKRR,SSKRV,SPSR,SPSV
1,"1.1.1",7000,1,2132,0,0,240.2,0,5.99,0,21,0,38150.18278,0,502.0056,0,180.6,0,7.297,0
1,"1.1.1",8000,0,0,0,0,0,0,0,0,4,0,11309.87665,0,0,0,183,0,7.335,0
1,"1.1.1",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"1.1.1",11000,0,0,0,0,0,0,0,0,12,0,55821.70029,0,0,0,203.8,0,7.408,0
1,"1.1.1",12000,0,0,0,0,0,0,0,0,2,0,2466.08183,0,0,0,108.2,0,5.9,0
1,"1.1.1",14000,1,4864,0,0,288.2,0,8.35,0,7,0,18169.1679,0,0,0,222.6,0,7.773,0
1,"1.1.1",15000,0,0,0,0,0,0,0,0,2,0,4490.15554,0,0,0,199.9,0,7.9,0
1,"1.1.1",17000,0,0,0,0,0,0,0,0,3,0,4277.42791,0,0,0,228.6,0,7.861,0
1,"1.1.1",18000,1,2050,0,0,120.1,0,5.99,0,11,0,24236.73415,0,0,0,185.2,0,7.17,0
1,"1.1.1",19000,0,0,0,0,0,0,0,0,5,0,14782.18859,0,0,0,227.1,0,6.441,0
1,"1.1.1",20000,0,0,0,0,0,0,0,0,31,0,69781.89033,0,0,0,220.9,0,7.157,0
1,"1.1.1",22000,4,9944.4,0,0,200.4,0,6.522,0,105,0,282328.50404,0,12.93127,0,214.1,0,6.531,0
1,"1.1.1",24000,1,2644.905,0,0,84.1,0,9.95,0,4,0,9528.78428,0,0,0,153.3,0,7.358,0
1,"1.1.1",25000,0,0,0,0,0,0,0,0,6,0,14361.78478,0,0,0,246.4,0,6.414,0
1,"1.1.1",26000,0,0,0,0,0,0,0,0,1,0,1387.94894,0,0,0,227.6,0,5.9,0
1,"1.1.1",27000,0,0,0,0,0,0,0,0,3,0,13879.49678,0,0,0,281.6,0,7.709,0
1,"1.1.1",28000,0,0,0,0,0,0,0,0,2,0,5905.20198,0,0,0,209.3,0,8.4,0
1,"1.1.1",29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"1.1.1",30000,0,0,0,0,0,0,0,0,1,0,1299.71489,0,0,0,116.2,0,9.5,0
1,"1.1.1",32000,0,0,0,0,0,0,0,0,8,0,22256.86033,0,0,0,205.6,0,6.694,0
1,"1.1.1",33000,0,0,0,0,0,0,0,0,4,0,11425.25788,0,0,0,319.4,0,6.989,0
1,"1.1.1",34000,0,0,0,0,0,0,0,0,1,0,2652.33508,0,0,0,110,0,8.4,0
1,"1.1.1",35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"1.1.1",36000,0,0,0,0,0,0,0,0,9,0,18035.47042,0,0,0,198.9,0,7.2,0
1,"1.1.1",37000,0,0,0,0,0,0,0,0,2,0,5029.61214,0,0,0,184.6,0,8.267,0
1,"1.1.1",38000,0,0,0,0,0,0,0,0,2,0,6644.46387,0,0,0,179.3,0,9.185,0
1,"1.1.1",40000,15,99226.468,0,0,269.7,0,7.971,0,448,0,1486576.70553,0,2292.94078,0,216.1,0,7.503,0
1,"1.1.1",41000,4,19236,0,0,186.4,0,6.694,0,76,0,255578.05295,0,7.40001,0,250.6,0,7.063,0
1,"1.1.1",42000,1,5650,0,0,240.2,0,7.95,0,7,0,12833.89048,0,0,0,233.7,0,7.791,0
1,"1.1.1",44000,0,0,0,0,0,0,0,0,1,0,6232.71344,0,0,0,282.7,0,7.7,0
1,"1.1.1",45000,7,54193.486,0,0,290.6,0,9.101,0,122,1,728529.59129,12488.38401,0,12488.38401,232.3,0,7.56,0
1,"1.1.1",46000,6,40919.019,0,0,225.8,0,7.883,0,48,0,222671.07295,0,0,0,212.5,0,7.659,0
1,"1.1.1",47000,2,6916.02,0,0,332.4,0,5.663,0,7,0,27890.7494,0,0,0,240.1,0,6.806,0
1,"1.1.1",49000,0,0,0,0,0,0,0,0,2,0,7163.84828,0,0,0,182,0,6.665,0
1,"1.1.1",50000,4,15818.08,0,0,262.4,0,7.669,0,21,0,80696.59982,0,2900.69405,0,255.1,0,7.35,0
1,"1.1.1",52000,0,0,0,0,0,0,0,0,5,0,20998.30857,0,0,0,219.8,0,6.792,0
1,"1.1.1",53000,0,0,0,0,0,0,0,0,3,0,13909.22685,0,0,0,299.6,0,6.044,0
1,"1.1.1",54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"1.1.1",56000,0,0,0,0,0,0,0,0,3,0,14600.62035,0,0,0,246.1,0,7.559,0
1,"1.1.1",57000,2,4723.75,0,0,252.2,0,8.819,0,25,0,51570.67003,0,2232.85544,0,242.5,0,6.95,0
1,"1.1.1",58000,1,5723,0,0,360,0,4.99,0,4,0,19093.09947,0,0,0,295.4,0,6.464,0
1,"1.1.1",60000,7,26084.472,0,0,259.1,0,7.876,0,81,0,163847.1124,0,1931.33395,0,221.1,0,7.154,0
1,"1.1.1",61000,0,0,0,0,0,0,0,0,1,0,3939.73535,0,3939.73535,0,0,0,0,0
1,"1.1.1",63000,1,2850,0,0,240.2,0,7.95,0,6,0,9967.05259,0,0,0,239.4,0,9.216,0
